"","cod_tipo","tipologia"
"67","<f1>6","Transporte por medios terrestres de sustancias radiactivas"
"68","a4","Defensa o alteraci<f3>n de un cuerpo o curso de aguas terrestres"
"69","j4","Ductos an<e1>logos"
"70","d","Reactores y establecimientos nucleares e instalaciones relacionadas"
"71","l","Agroindustrias, mataderos, planteles y establos de crianza, lecher<ed>a y engorda de animales, de dimensiones industriales. Se entender<e1> que estos proyectos o actividades son de dimensiones industriales cuando se trate de:"
"72","n4","Producci<f3>n anual (15 ton) cuando el cultivo se realice en r<ed>os navegables en la zona no afecta a marea o en r<ed>os no navegables en la zona no afecta a marea"
"73","r","Cotos de caza"
"74","a6","Sifones"
"75","a5","Acueductos"
"76","i5","Proyectos de desarrollo minero de petr<f3>leo y gas"
"77","g","Proyectos de desarrollo urbano o tur<ed>stico, en zonas no comprendidas en alguno de los planes a que alude la letra h) del art<ed>culo 10 de la Ley"
"78","i3","Extracciones de turba"
"79","<f1>2","Producci<f3>n, almacenamiento, disposici<f3>n o reutilizaci<f3>n de sustancias radiactivas en forma de fuentes no selladas o fuentes selladas de material dispersable, en cantidades superiores a los l<ed>mites A2 del D.S. N<U+00B0>12/85, o superiores a 5000 A1 para el caso de fuentes selladas no dispersables"
"80","h3","Plan regional de desarrollo urbano"
"81","n7","Proyectos de explotaci<f3>n intensiva de recursos hidrobiol<f3>gicos"
"82","f","Puertos, v<ed>as de navegaci<f3>n, astilleros y terminales mar<ed>timos"
"83","i","Proyectos de desarrollo minero, incluidos los de carb<f3>n, petr<f3>leo y gas, comprendiendo las prospecciones, explotaciones, plantas procesadoras y disposici<f3>n de residuos est<e9>riles"
"84","u","Ingreso voluntario"
"85","a7","Acueductos"
"86","<f1>7","Transporte por medios terrestres de sustancias radioactivas"
